"year","month","date","shipname","category","commodity","species","landings","catches","value","price"
2000,5,2000-05-01,"MARFLOTA2","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",2297,2297,16079,7
2000,5,2000-05-01,"MARFLOTA3","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",119,119,1190,10
2000,5,2000-05-01,"MARIAELISA","Atun","Albacora ent. fca.","Thunnus alalunga",80,80,2800,35
2000,5,2000-05-01,"MARIAELISA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",310,310,8900,29
2000,5,2000-05-01,"MARIAGUADALUPE","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",500,500,2000,4
2000,5,2000-05-01,"MARIAVALERIA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",569096,569096,3983672,7
2000,5,2000-05-01,"MARIAVALERIA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",1808,1808,9040,5
2000,5,2000-05-01,"MAZCU1","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",76241,76241,686169,9
2000,5,2000-05-01,"NAIR3","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",259140,259140,2332260,9
2000,5,2000-05-01,"NANA","Atun","Albacora ent. fca.","Thunnus alalunga",1081,1081,8648,8
2000,5,2000-05-01,"NANA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",112,112,1008,9
2000,5,2000-05-01,"NANA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",680,680,2720,4
2000,5,2000-05-01,"NANA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",880,880,4400,5
2000,5,2000-05-01,"NANA","Atun","Atun ent. fco.","Thunnus spp",12,12,60,5
2000,5,2000-05-01,"NANA","Atun","Atun ent. fco.","Thunnus spp",100,100,2000,20
2000,5,2000-05-01,"NANA","Atun","Atun ent. fco.","Thunnus spp",352,352,1408,4
2000,5,2000-05-01,"NANA","Atun","Atun ent. fco.","Thunnus spp",800,800,4000,5
2000,5,2000-05-01,"NANA","Barrilete","Barrilete cocido","Katsuwonus pelamis",90,108,450,5
2000,5,2000-05-01,"NANA","Barrilete","Barrilete desv. fco.","Katsuwonus pelamis",200,220,2000,10
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",18,18,90,5
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",50,50,300,6
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",200,200,1200,6
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",700,700,1400,2
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",1000,1000,1000,1
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",1200,1200,2400,2
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",1245,1245,3735,3
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",3100,3100,35200,11
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",3150,3150,9450,3
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",3500,3500,10500,3
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",7450,7450,22350,3
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",12500,12500,25000,2
2000,5,2000-05-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",17910,17910,41250,2
2000,5,2000-05-01,"NANA","Barrilete","Barrilete negro ent. fco.","Katsuwonus pelamis",300,300,900,3
2000,5,2000-05-01,"NANA","Barrilete","Barrilete negro ent. fco.","Katsuwonus pelamis",300,300,900,3
2000,5,2000-05-01,"NANA","Barrilete","Barrilete negro ent. fco.","Katsuwonus pelamis",300,300,900,3
2000,5,2000-05-01,"NANA","Barrilete","Barrilete negro ent. fco.","Katsuwonus pelamis",3100,3100,9300,3
2000,5,2000-05-01,"NANA","Bonito","Bonito ent. fco.","Euthynnus alletteratus",425,425,1350,3
2000,5,2000-05-01,"NANA","Bonito","Bonito ent. fco.","Euthynnus alletteratus",770,770,8000,10
2000,5,2000-05-01,"NANA","Bonito","Bonito ent. fco.","Euthynnus alletteratus",4225,4225,21125,5
2000,5,2000-05-01,"OLIVIA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",89363,89363,690117,8
2000,5,2000-05-01,"PROGRESODELPACIFICOSURIPTOANGI","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",400,400,1600,4
2000,5,2000-05-01,"PUNTAABREOJOS4","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",115,115,690,6
2000,5,2000-05-01,"SANDOKAN","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",183292,183292,1208289,7
2000,5,2000-05-01,"SANDOKAN","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",8340,8340,83400,10
2000,5,2000-05-01,"SANTACRUZ2","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",20,20,0,0
2000,5,2000-05-01,"SANTACRUZ3","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",14000,14000,80500,6
2000,5,2000-05-01,"YUMANO","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",65,65,2600,40
2000,6,2000-06-01,"AZTECA10","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",555382,555382,2776910,5
2000,6,2000-06-01,"AZTECA10","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",266,266,1330,5
2000,6,2000-06-01,"AZTECA10","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",36612,36612,183060,5
2000,6,2000-06-01,"AZTECA2","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",295556,295556,1477780,5
2000,6,2000-06-01,"AZTECA2","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",660946,660946,3304730,5
2000,6,2000-06-01,"AZTECA4","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",41363,41363,206815,5
2000,6,2000-06-01,"CARTADEDECES","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",530413,530413,4243304,8
2000,6,2000-06-01,"CHACMOOL","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",421397,421397,2949779,7
2000,6,2000-06-01,"DONNACRISTINA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",334798,334798,2678384,8
2000,6,2000-06-01,"DONNACRISTINA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",459730,459730,4597300,10
2000,6,2000-06-01,"ELGLADIADOR","Atun","Atun aleta amarilla desv. fco.","Thunnus albacares",105,115.5,1575,15
